id,dialogue,options
474,A:你看他這麼高 這麼壯 我怎麼可能贏他,B:這個最重要的技巧其實是運用智慧	B:我是因為這個訓練的時間不足嘛 來不及準備	B:不然這樣好了啦 你跟小中示範一場給我做參考	B:好 那你來當裁判	B:這樣有沒有瞭解	B:什麼我壯 你也不弱好不好
475,A:叔叔 那我們要怎麼過去	B:搭這一艘 出發了	A:哇塞 好棒喔 第一次在日月潭上面,A:以前的老蔣總統很愛吃這個	A:算小的	A:牠為什麼叫總統魚	A:坐著這種小船在湖上面走	A:你說以前那個蔣總統	A:他很喜歡吃這個魚
476,A:你明天要考試 功課寫完了嗎,B:原來你是在擔心這個啊	B:這是她的部落格 文筆不錯 而且還會塗鴉	B:明天只是小考而已 沒關係啦	B:日子久了慢慢習慣了	B:我的情緒有點失控了	B:我才不要交男朋友呢
477,A:人家下班了啦	A:要是不趕快存起來 到時候一定會露出馬腳的,B:現在在花蓮的玉里還有一間這樣的郵局	B:但是它當郵局這樣就有點怪	B:可以啊 我就在那裡工作	B:不用了 我自己去就好	B:這是行動咖啡喔	B:豆油伯 你也不要那麼緊張 今天來不及明天再拿去寄不就得了嗎
478,A:老師 他不是壞人啦	B:老師並沒有說他是壞人啊 只是希望你們在公共場所 能夠提高警覺,A:我在她們心目中 還不如一個陌生人	A:她們不是那個意思	A:好耶 譚老師跟織田裕二比比看誰比較強	A:我們今天跟他約好了耶 他還要替我們複習功課	A:他不是那個日本明星嗎	A:老師 帥哦
479,A:這點想請教鄭組長 規畫無障礙環境 要考慮哪些問題 有沒有針對聽障設計的呢	B:當然我們現在技術規則,B:剛才有沒有看到	B:大部分都是以視障跟肢障的為主	B:她說謝謝耶	B:每一個父母親	B:總是希望兒女能夠身體健康	B:她用雙腳向大家問好啊
480,A:以後數學課我就跟你換位置	B:為什麼要換位置,A:請務必把它抄下來	A:所以最後等於是	A:沒有為什麼我就是要跟你換位置	A:25分之17	A:在大學聯考當中	A:是特別重要的
481,A:賈晨 舒琪她們兩個怎麼了 一個星期都不跟對方說話	B:誰知道 一下像黏巴達 一下連看都不看對方	B:你們女生好奇怪,A:觀察得相當的入微	A:對人體還是不會有害的	A:我希望能學習更多相關英文	A:經驗一下收蝦可以沒問題	A:你才奇怪	A:看看哪一鍋的蝦子最先死翹翹
482,A:都是你啦 出什麼餿主意嘛,B:那妳得跟妳先生一起回去才對	B:這怎麼能怪我 是你自己叫我幫你想辦法的	B:我是來這邊找一個人	B:我想我的新生活 應該就要開始了吧	B:算得真準	B:她要不是為了減肥 也不會這樣啊
483,A:不要管我了 我自己在這邊練習	B:那怎麼行,A:還不好好利用一下	A:我這不是好好的嗎	A:有什麼事情 吃完飯再說	A:就好想來看看你們	A:媽媽認為應該有些幫助	A:不要擔心 教練就在這邊
484,A:奕瑄她爸爸之前是我們那一里的里長 但因為盜用公款被判坐牢	B:既然奕瑄她爸爸會A錢 那我們把校外教學的費用交給她 是不是也很危險啊,A:你覺得危險就不要參加	A:那就麻煩你這位求職包打聽 好好的幫大家服務囉	A:你們這樣橫衝直撞真的很危險耶	A:校外教學活動舉辦的意義是什麼	A:勤儉本來就是美德	A:芷穎 你不要亂講話 奕瑄她才不會那樣
485,A:你知道有沒有熟嗎,B:本來後面不是很亂嗎 上面擺的嗎	B:不好意思 他臉紅了	B:好像我所有的理都沒有了 都是她對了	B:可是明明是你錯了 你硬拗說是我錯	B:我知道 看外面就知道了	B:真的 眼睛還紅的啊
486,A:您平常有參與聽障團體 常會用的手語是什麼,B:這軟體真的不錯	B:科系的價值不該用賺不賺錢來衡量	B:我們平常一般遇到聾人的話 就先跟他問好	B:這篇寫得有憑有據 擲地有聲	B:人應往自己夢想的道路前進	B:我居然忘了她是協理啊
487,A:那時候我要照顧孩子,A:不能去工作	A:但他也不聽	A:有別的女人	A:這些我都忍下來了	A:但後來知道他有外遇	A:還有小孩要養
488,A:那這個戲裡面 當然有很多東西是可以值得 一一抽出來談的 比方說像它的對白,A:去判斷你的每一個鏡頭	A:是經過算計的嗎	A:它的對白很多很經典	A:我們不去做判斷	A:那我就跟你聊	A:其實在電視圈非常有名
489,A:濂僑 你有沒有想過 你以後退休之後要做什麼啊,B:一起來家裡打打小麻將啦	B:因為今天在手語劇場裡	B:幹嘛這麼早就退休啊	B:我看他的年紀跟你差不多	B:害我嚇一跳	B:退休之後啊 當然是有空就約朋友
490,A:老師喜歡的類型像姵蓁一樣 常常笑臉迎人	B:果然老師欣賞的類型也是異於常人,C:老師 不行啦 你選的可是我們班上的恰查某	C:天下父母心 每個爸媽都希望家中的寶貝可以 高人一等	C:警方呼籲 年關將至 民眾除了應發揮守望相助的精神	C:最棒的視覺感官體驗不能錯過	C:這些基本營養素 大部分可透過飲食的均衡攝取獲得	C:趕快把垃圾拿去丟掉吧
491,A:小微呀 你在摸什麼啊 都幾點啦,B:好啦 馬上就好了	B:你真的相信 世界上只有十二種人嗎	B:神算公主代誌大條囉	B:紀老師幫你說了好多好話 都沒用耶	B:我想讓她自己想辦法解決問題 她才會了解到事情的嚴重性	B:紀老師是最善良最有同情心的巨蟹座啊
492,A:房仲業有很多事要學 那一本重要的寶典書買了沒有,B:你看 我幫你帶了這麼甜的葡萄	B:今年的房價一直跌不下來	B: 有 我第一天就買了 學長姐規定的	B:教育政策的制定是很重要的	B:你今天搭幾點的火車	B:我覺得那部電影超好看的
493,A:阿公 幫幫我把這個剪掉	B:剪掉做什麼,A:不要傻了啦	A:你咬不動	A:拿來炫耀一下	A:我要燒啊	A:你年紀大了	A:希望有個新氣象
494,A:奇怪 真奇怪	B:什麼事情很奇怪,A:我也有陪我媽媽看過喔	A:很感人 這個故事很棒	A:快點 換你	A:換我出牌了	A:我在看那個VCD	A:豆油伯那柑仔店 有七八個日本人來跟他買東西 還這樣很有禮貌
495,A:裡面的水生植物是我們照顧的	B:那你們照顧得很好耶 等一下 這個可愛的陶瓷作品,B:不過你好像這個是不太一樣	B:可以一邊喝著下午茶	B:我們一起去玩吧	B:還真被你講對了	B:也是你們自己DIY做的嗎	B:你不要亂講
496,A:姊姊珮綺 常對妹妹珮華的金錢觀不以為然	B:她常常被我罵,B:可是因為我們拆掉是有原因的	B:是因為他不可理喻	B:因為他說那個插頭	B:卻造成賭氣的爺爺遲遲未歸	B:道江才不得不禁止爺爺使用電風扇	B:我覺得說她花錢沒有理智
497,A:因為我有一個更神奇的玩具 比你的玩具更酷,B:而且我們不會照抄的啦 只是寫完之後參考一下而已	B:可是我怕我的英文劇本 會趕不完 怎麼辦	B:我跟曉書好好溝通溝通	B:我的作業借給你觀摩	B:真的嗎 是什麼新鮮的玩具 給我看看嘛	B:作業不都是你自己寫完的嗎
498,A:好可愛喔 這是什麼	B:這是瓢蟲,B:姊姊 你不怕蟲蟲喔	B:女兒終究會長大	B:我好緊張喔	B:因為這個要煮很久	B:你們可以吃飯啊	B:你不用怕
499,A:只要你跟我一起用功 我們一定會考上同一所高中的	B:可是我怕我考不好,A:我們要把蝦子放進去	A:不過其中最喜歡的是健康教育	A:舒琪說她想要讀餐飲科	A:而且今天我們來的日子	A:花路米觀眾平安喜樂	A:有我在你怕什麼 我打電話來就是要跟你說明天考試的重點
500,A:我警告你喔 不要讓我再接到學校打來電話喔,B:光曉得把力氣花在這些不真實的東西上	B:你怎麼沒有幫自己算一算啊	B:還有紫微斗數啊	B:你是說只要我在外型上做改變 就可以化解了嗎	B:好啦	B:考運再好 不念書也不能考一百分啊
